Date,AAPL.O,AXP.N,BA.N,CAT.N,CSCO.O,CVX.N,DIS.N,GS.N,HD.N,IBM.N,INTC.O,JNJ.N,JPM.N,KO.N,MCD.N,MMM.N,MRK.N,MSFT.O,NKE.N,PFE.N,PG.N,TRV.N,UNH.N,UTX.N,V.N,VZ.N,WBA.O,WMT.N,XOM.N
2018/1/2,166.804,95.7787,282.8864,148.3303,36.4099,116.6809,108.7261,247.1018,178.9995,139.3655,44.3691,131.8369,101.6843,42.6657,164.9604,220.0753,53.1015,83.0296,62.1229,33.5805,84.6656,126.0451,214.5883,121.9968,112.8634,48.5256,70.3419,94.3925,76.8119
2018/1/3,166.775,96.3692,283.8013,148.557,36.7003,117.5315,109.1929,244.8016,179.9324,143.1963,42.8633,133.0963,101.7879,42.572,164.2652,220.066,53.0259,83.416,62.1131,33.8293,84.5628,126.4462,216.8393,123.7864,113.987,47.5285,70.8675,95.2159,78.3205
2018/1/4,167.5496,97.9721,282.7244,150.5972,36.8042,117.1656,109.1442,248.2229,181.3604,146.0966,42.0773,133.0869,103.246,43.1716,165.4175,222.9426,53.8855,84.1502,62.0739,33.9031,85.1606,126.4462,217.7805,124.1767,114.4108,47.6826,67.1979,95.3021,78.4289
2018/1/5,169.4572,98.1956,294.3223,152.9774,37.3139,116.9736,108.551,246.9568,183.2548,146.8104,42.3709,134.1853,102.5832,43.1622,165.7508,224.6797,53.8288,85.1935,62.6023,33.9676,85.2166,126.217,221.9333,125.2429,117.1508,47.5738,68.4367,95.8669,78.3657
2018/1/8,168.8278,97.2921,295.5707,156.8217,37.7009,117.5497,106.995,243.3712,182.8169,147.6958,42.3709,134.3557,102.7347,43.0966,165.6365,223.9512,53.5171,85.2804,63.16,33.5897,85.6649,125.5389,218.0813,126.4327,117.6239,47.4922,69.3095,97.2839,78.718
2018/1/9,168.8085,97.6515,303.4615,157.1995,37.4649,116.9187,106.9172,245.4298,183.826,148.021,41.3102,136.4862,103.2555,43.3121,165.2651,225.3428,53.6493,85.2225,62.7099,33.5529,85.0392,126.513,219.168,127.813,117.3972,47.318,68.906,96.1159,78.3838
2018/1/10,168.7697,98.3316,305.2055,156.6706,37.6726,117.6686,106.4601,245.8067,182.5884,148.3373,40.2495,136.3253,104.3917,43.1622,165.2365,225.2121,54.1216,84.8361,62.8371,33.6082,84.4975,126.1692,217.5379,128.4127,117.2691,47.3914,69.5254,95.4265,77.7605
2018/1/11,169.7284,97.8555,312.696,159.8159,37.8519,121.2446,107.9383,246.5799,185.3301,148.3553,41.1113,137.1017,104.9504,43.1341,165.1223,226.3048,54.4049,85.0872,62.9056,33.6911,84.1986,126.3889,218.6926,128.4984,118.1167,47.7764,70.7455,95.7616,78.5283
2018/1/12,171.481,98.0887,320.4057,160.8549,38.5788,122.1866,109.3776,248.4162,186.9865,147.3976,40.9503,138.0202,106.6831,43.2372,165.2937,228.3221,55.4061,86.5556,63.2774,33.6727,83.6942,128.6714,221.846,130.0119,118.3631,47.5472,71.393,96.5754,79.0613
2018/1/15,171.481,98.0887,320.4057,160.8549,38.5788,122.1866,109.3776,248.4162,186.9865,147.3976,40.9503,138.0202,106.6831,43.2372,165.2937,228.3221,55.4061,86.5556,63.2774,33.6727,83.6942,128.6714,221.846,130.0119,118.3631,47.5472,71.393,96.5754,79.0613
2018/1/16,170.6095,97.4767,319.4051,159.9198,38.2673,120.7325,107.6466,249.7983,186.8818,148.0391,40.8556,139.0618,106.3044,43.5932,165.3984,228.5743,58.627,85.3481,62.0544,33.728,84.264,129.4259,225.9794,127.5274,118.6588,47.3638,71.3555,96.4031,78.5644
2018/1/17,173.4274,97.8847,334.51,159.1547,38.8903,121.0526,108.8914,245.1495,190.2232,152.3759,42.0394,139.1754,106.9861,43.8649,166.6364,231.7217,58.5892,87.0772,62.436,34.2624,85.1793,130.7056,231.3451,127.9558,120.2259,47.4189,71.1209,98.3275,79.4949
2018/1/18,173.5823,97.0104,324.17,159.4664,38.9847,120.3483,107.384,242.5593,188.8048,152.8006,42.1246,139.1186,107.2418,43.9211,166.246,229.667,57.7391,87.0386,62.7295,34.0874,84.8687,131.164,235.9345,128.1367,121.3397,47.263,71.3274,99.8594,78.98
2018/1/19,172.8076,95.2326,321.8543,161.7059,38.9752,120.0831,107.5493,247.5367,191.6607,146.7019,42.4466,139.5352,107.0051,44.1834,167.7221,231.787,57.8808,86.942,65.7628,34.0413,85.7063,131.6511,236.1189,129.3646,120.9356,47.5931,71.7685,100.137,78.727
2018/1/22,171.3939,95.5143,322.1116,162.1613,39.3245,121.2355,108.0453,252.7558,194.6404,146.9097,43.3274,140.2738,108.2549,44.3895,167.8078,230.9652,57.8525,88.4973,64.9604,34.0321,86.478,133.0836,236.3226,128.7078,122.5421,49.0142,72.6413,100.9604,79.7207
2018/1/23,171.4326,95.184,319.8149,160.7759,39.7398,119.827,107.3743,251.3737,195.0593,150.2075,43.621,134.2989,108.1413,44.4551,168.3792,230.0406,58.2775,88.7774,65.6943,33.9307,83.8053,139.6829,237.9236,129.4884,122.8575,48.8033,72.2846,101.3913,79.7659
2018/1/24,168.7019,96.4664,318.9572,159.7416,39.8059,120.1654,107.4618,256.7764,196.3159,149.4124,43.1001,134.5261,109.5237,44.8111,167.7221,231.3294,57.7864,88.7002,66.5357,34.0321,83.1088,140.9818,237.5743,129.1552,122.759,49.711,72.5756,101.286,79.9737
2018/1/25,165.6904,96.8452,326.9814,160.719,39.551,119.4886,107.5104,260.0141,195.5067,149.5028,42.9012,136.7324,109.5521,44.8205,167.284,235.6909,57.8997,89.1928,66.252,34.3085,83.1371,141.7935,237.8945,131.1257,123.4194,49.7751,73.4578,102.0615,79.8291
2018/1/26,166.0778,96.7869,327.0862,158.527,40.174,119.9825,109.1053,259.1539,197.2774,151.1923,47.4281,137.613,110.1392,45.4669,169.8553,241.5468,58.5987,90.864,66.5749,35.9488,82.563,142.7008,241.0867,131.3446,124.5035,50.1694,74.2837,103.7753,80.3982
2018/1/29,162.6402,96.5732,324.799,154.2758,40.4478,117.504,108.4732,263.3485,195.0783,150.7045,47.3334,136.0507,110.0256,44.6893,169.2934,239.0999,58.2114,90.7288,66.1248,35.9581,81.7442,142.2615,240.0582,130.0976,123.0448,49.6284,75.3348,104.8859,79.5039
2018/1/30,161.6816,95.8932,321.8352,155.3955,39.8814,114.5317,107.0825,259.9271,192.1177,147.8313,46.2064,134.867,108.9935,44.4176,164.2556,234.9251,57.2858,89.5889,65.8802,34.8338,81.8289,142.0323,229.618,129.9358,121.7734,49.4176,71.4494,103.1434,78.3928
2018/1/31,162.127,96.5635,337.7121,154.4656,39.2112,114.6414,105.6821,258.9123,191.2514,147.9036,45.5908,130.8522,109.5237,44.5863,162.9795,233.9538,55.9634,91.7818,66.751,34.1334,81.2549,143.1783,229.7441,131.3732,122.4436,49.5734,70.6328,102.0615,78.8625
2018/2/1,162.4659,97.1464,340.1613,153.9532,39.3622,114.8426,107.4521,263.1068,190.2994,146.729,45.1268,132.585,110.66,44.4551,163.7033,231.5629,56.5396,91.0572,66.1933,34.2543,80.7937,143.2547,228.2305,131.6682,123.9122,49.7843,71.3837,101.0275,80.4615
2018/2/2,155.4165,93.9211,332.5087,149.4458,38.6354,108.4498,105.7113,251.3254,184.6542,143.6842,43.7062,130.3692,108.2076,43.7806,161.3035,228.9759,55.3117,88.6615,65.7725,34.0497,79.288,141.2969,224.9897,128.1367,119.1713,48.5741,69.0374,100.0317,76.3603
2018/2/5,151.5335,89.3844,313.4203,143.3632,36.6059,102.9989,101.8213,240.7617,174.3158,137.8115,42.1625,123.4663,103.0188,42.0567,156.0371,216.1528,53.2715,85.01,63.0035,32.2454,76.2858,135.1561,213.4821,121.1211,114.5981,46.3003,66.0998,95.8286,72.0151
2018/2/6,157.8664,91.4925,324.8848,148.4209,37.918,107.1694,103.2509,250.0303,181.8649,140.3503,42.8204,124.8299,106.1529,41.8506,157.3037,218.1981,52.3836,88.2268,63.8156,32.8127,77.5281,134.5162,218.4888,123.5675,118.2448,46.6029,67.3762,96.6042,70.7776
2018/2/7,154.4869,90.9387,331.7559,146.4567,38.0785,105.4408,101.8796,248.4839,182.1029,139.0041,43.0969,124.4417,106.8725,41.7475,157.8085,217.7872,52.7804,86.5652,64.2168,32.5337,77.0199,135.7482,219.1098,125.6236,117.9294,46.7679,67.1322,98.4711,69.5038
2018/2/8,150.2359,85.8191,315.7144,138.5332,36.5965,102.7063,98.5634,238.0942,172.5165,134.661,40.7609,119.6503,102.1477,40.3797,151.3898,208.1675,51.6941,82.1215,61.1444,31.2781,75.4953,128.9388,210.0279,121.3495,112.2227,44.9617,64.0257,95.7616,68.7179
2018/2/9,152.0736,89.1027,318.7503,141.5887,37.3139,103.8038,100.2555,240.9453,175.2773,136.4129,41.9051,122.652,104.1929,40.4078,153.1326,210.3343,51.8264,85.1838,64.0798,31.7711,75.213,130.9157,214.3942,119.0174,114.6473,45.7319,64.2509,95.1393,69.156
2018/2/12,158.1989,91.9976,329.2563,144.5114,38.3239,104.2427,100.5473,244.6759,175.2201,138.1373,42.7441,123.3527,105.8026,41.1948,156.0848,214.0514,52.3553,86.1016,64.5592,32.2361,76.5399,131.9281,218.9836,121.2543,116.7664,45.9427,64.2509,95.3116,69.74
2018/2/13,159.7837,91.8616,328.6434,146.1056,38.9186,103.6117,101.2572,246.9665,174.8965,137.5442,42.3913,123.0592,106.4559,41.4009,154.6563,216.0781,51.8547,86.7778,64.4516,32.4965,76.6999,132.3483,219.9054,119.7218,116.6481,45.9152,64.0914,96.6807,69.6305
2018/2/14,162.7297,93.484,330.2619,149.9867,39.7304,103.9226,101.724,253.7802,175.8199,141.203,43.2685,122.7846,108.9177,41.3166,152.3612,216.6758,51.8547,88.1366,66.4966,32.729,75.9282,134.2774,221.9818,120.6071,119.0925,45.3926,64.6578,97.3701,69.7765
2018/2/22,167.7175,94.572,340.8636,150.7458,40.5327,101.5026,102.3464,252.6688,176.5624,139.7614,43.669,123.0118,108.8704,40.7732,152.9993,221.7113,51.543,89.0295,65.6845,33.2406,76.0788,131.4505,220.342,127.8626,118.8555,43.889,65.7718,88.8203,69.229
2018/2/23,170.6343,95.9806,341.5723,154.1145,41.5333,103.9965,104.3012,257.8298,179.3041,141.8964,45.5092,125.0098,111.0766,41.2603,155.2848,222.6695,51.8264,91.2909,66.6923,33.7242,76.2764,133.4561,223.3208,127.451,121.3732,44.2741,66.4232,88.9352,70.753
2018/2/26,174.0081,98.7396,348.1038,155.3291,42.817,105.8531,106.7908,262.1694,179.4088,144.6883,46.825,125.8579,112.459,41.251,155.78,229.3584,52.9504,92.6108,68.1502,34.4962,76.8223,136.1684,227.1049,129.6717,123.0122,45.0076,66.6497,89.1554,71.9485
2018/2/27,173.4442,96.7384,349.2147,153.0232,42.515,104.9387,101.9866,258.951,176.096,142.8361,47.5878,125.4767,111.1239,40.8668,152.9993,226.2019,51.6847,91.4268,66.5651,34.2264,75.7965,135.1752,225.6107,128.1785,121.8076,44.0449,65.2714,87.6235,70.7256
2018/2/28,173.1816,94.7274,346.8875,146.7319,42.2696,103.3777,100.3236,254.8319,173.5161,142.1792,46.9966,123.7709,109.3628,40.4921,151.1688,221.2509,51.2124,91.0094,65.5866,33.7707,73.8954,132.7494,219.4397,128.973,121.3831,43.7698,65.0354,86.1778,69.1195
2018/3/1,170.1481,92.4251,334.8971,142.5566,41.3445,103.4885,99.7498,248.8713,171.0124,140.3362,45.6141,121.2932,107.4028,40.6888,149.2138,217.3334,50.7213,90.1165,64.8919,33.1383,74.0648,132.7207,217.7805,124.723,118.8753,43.9715,66.2721,85.2874,68.6267
2018/3/2,171.3246,92.8719,330.0895,138.9033,41.5899,103.1191,100.1583,250.17,169.8891,140.9566,46.701,122.7608,107.2986,40.9605,142.0933,216.4221,51.3447,90.3106,64.6662,33.4359,74.8177,131.6798,218.4985,124.3784,119.2406,44.2466,66.6309,84.9906,68.9461
2018/3/5,171.9177,93.9017,337.8277,143.4011,42.0241,104.5138,100.5667,255.016,173.0116,143.2011,47.4352,123.6852,108.9462,41.1198,144.7384,218.7144,51.3824,90.8832,63.8418,33.594,75.5612,133.3033,221.5937,126.0726,120.3365,44.6592,66.6025,86.1491,69.6031
2018/3/6,171.7718,93.3285,334.1597,145.8968,41.807,104.9756,102.0547,258.7087,172.9164,142.0789,48.3505,122.189,109.0408,41.1573,144.9013,219.5129,51.288,90.5727,64.0283,33.3708,75.3071,135.0319,219.4591,125.9769,119.5269,44.8242,65.8851,85.2682,69.521
2018/3/7,170.1773,92.9108,332.3592,143.7712,41.7221,105.1511,100.7418,257.1773,170.9728,144.4511,48.9322,122.9704,108.6337,41.0542,146.0321,221.3073,51.4486,91.0968,62.9781,33.4173,74.4977,132.6348,220.5167,125.326,120.3069,44.7784,65.6113,84.0044,67.7688
2018/3/8,172.0344,93.8337,333.9777,145.745,41.8542,104.6985,101.1697,258.1369,170.3601,142.5259,48.3791,125.8484,108.6432,41.6445,148.0063,222.0307,51.7225,91.65,63.9007,33.9474,75.26,134.0844,218.7742,125.6419,120.6722,44.9342,65.1109,84.6786,67.6411
2018/3/9,174.9901,96.2235,339.5228,150.167,42.8265,108.2732,101.8504,262.4304,174.4003,145.3544,49.7617,127.5066,111.7678,41.9911,150.6897,226.7373,52.0814,93.6979,65.0686,34.1985,75.5612,136.6092,219.4556,128.3316,122.9332,44.9342,66.6497,85.4491,68.0426
